Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.)
31-Dec-18,83.6,86.2,83.6,84.55,85.5060241,249,4,21291
28-Dec-18,85.25,87.8,84.65,84.8,86.91259327,43555,26,3785478
27-Dec-18,82.05,82.05,82.05,82.05,82.05,100,1,8205
21-Dec-18,85,85,84,84,84.53069153,1287,20,108791
20-Dec-18,84.95,85.9,84,85,85.21272727,550,4,46867
19-Dec-18,85.55,86.1,85.5,86.1,85.65,600,7,51390
18-Dec-18,96.6,96.6,85,85.85,85.89539749,717,17,61587
17-Dec-18,91,91,87,87.2,88.08273749,979,27,86233
14-Dec-18,89.5,89.55,85.05,86.05,87.04849498,598,22,52055
13-Dec-18,87.45,89.85,87.45,87.45,87.90333333,600,14,52742
12-Dec-18,84.55,84.55,84.55,84.55,84.55,180,1,15219
11-Dec-18,82.05,86.15,82.05,85.5,85.49661485,36926,15,3157048
10-Dec-18,85.7,85.7,83.5,84,84.00512619,40771,16,3424973
7-Dec-18,84,86.45,84,85,85.01459246,40843,12,3472251
6-Dec-18,86.05,86.05,83.75,84.1,84.54907975,652,6,55126
5-Dec-18,85,85.15,83.8,84.4,84.73611111,720,29,61010
4-Dec-18,83.6,86.5,83.6,86.4,85.96932515,326,5,28026
30-Nov-18,85.4,85.4,85.4,85.4,85.4,25,1,2135
29-Nov-18,86.95,86.95,84.1,85.55,84.90772693,1333,18,113182
28-Nov-18,85,87.5,83.05,83.8,84.7926192,3062,23,259635
27-Nov-18,87.8,87.8,85,85,85.18854673,1851,20,157684
26-Nov-18,85.25,89.8,83.7,85,85.02113088,35919,27,3053874
22-Nov-18,84.35,86.55,84.25,86.3,85.16235294,850,11,72388
21-Nov-18,87.45,88,87.45,87.5,87.50086441,40490,7,3542910
20-Nov-18,89,89,84.05,86.35,85.15291751,497,12,42321
19-Nov-18,90,90,85,86.7,85.94239424,1111,36,95482
16-Nov-18,82,92.5,79,88.45,87.72162207,12034,158,1055642
15-Nov-18,81,81.8,78.1,80,79.99856687,52333,12,4186565
14-Nov-18,82.3,82.3,79.15,79.6,80.20816327,1225,17,98255
13-Nov-18,87.25,87.25,82.05,82.15,82.3027027,185,4,15226
12-Nov-18,84,87.25,82.25,83,84.04347826,897,26,75387
7-Nov-18,87.5,90.8,87.4,87.95,87.96396396,111,8,9764
6-Nov-18,83.05,83.35,83,83,83.053125,640,4,53154
5-Nov-18,79.2,87.65,77,82.2,79.18740306,64476,66,5105687
2-Nov-18,80,82.9,78.9,79.2,79.20757363,1426,16,112950
1-Nov-18,76,86.9,76,82,77.4625,160,4,12394
31-Oct-18,71.25,82.1,71.25,79.9,79.94897872,141196,20,11288476
30-Oct-18,83,85,75.4,77.85,79.54425363,757,27,60215
29-Oct-18,72,73,71.55,72.9,72.21714286,350,6,25276
26-Oct-18,70.6,74.65,70.55,71.2,72.5750469,2132,11,154730
25-Oct-18,74,74,72,72,72.66666667,3,3,218
24-Oct-18,71.05,71.05,71.05,71.05,71.04827586,290,1,20604
23-Oct-18,72.65,73.5,71,71.4,71.70670996,924,19,66257
22-Oct-18,66,73,66,73,72.9,1010,9,73629
19-Oct-18,73.1,76.9,73,73,74.43677732,2681,20,199565
17-Oct-18,77.2,81.8,74.05,74.5,76.37591084,4666,50,356370
16-Oct-18,73,81,72.4,75.75,76.74013386,21665,189,1662575
15-Oct-18,70,76,64.55,72,69.33617021,235,13,16294
12-Oct-18,78.9,78.9,68.5,73.35,73.4045512,791,14,58063
11-Oct-18,83.85,83.85,65.6,71.5,71.74654378,217,15,15569
10-Oct-18,73.3,74.9,70.2,71.65,73.76592357,1256,26,92650
9-Oct-18,73,73.9,67,72.35,71.39288889,1125,36,80317
8-Oct-18,70,73.4,66,68.95,70.97996918,3245,24,230330
5-Oct-18,78,78,70,70,70.81130188,11998,65,849594
4-Oct-18,79.4,79.4,69.2,78,76.8088565,3568,42,274054
3-Oct-18,75,78,65.2,75.2,74.04489562,6994,57,517870
1-Oct-18,83.95,83.95,63.15,73.95,72.64073246,12069,123,876701
28-Sep-18,71.2,76.9,71.05,71.25,72.25570033,614,14,44365
27-Sep-18,77,77,73.15,73.4,76.64025157,795,7,60929
26-Sep-18,77.25,77.75,73,76.75,75.51282051,1638,23,123690
25-Sep-18,80.75,80.75,74.25,76,75.81596452,451,6,34193
24-Sep-18,82,82,76,77,76.67553585,1353,29,103742
21-Sep-18,87.5,87.5,79,83.8,82.6157326,3979,47,328728
19-Sep-18,85,85.75,77.1,82.1,82.18096948,2785,36,228874
18-Sep-18,94.5,94.5,85.55,87.3,87.72180451,266,10,23334
17-Sep-18,85.05,88.75,85.05,87.45,86.44802867,558,10,48238
12-Sep-18,87.05,87.5,87.05,87.4,87.37561779,607,4,53037
11-Sep-18,86,92,86,89.2,89.10222805,1526,14,135970
10-Sep-18,88.15,88.25,88,88.25,88.13380282,142,6,12515
7-Sep-18,90,90.05,89.3,89.3,89.91,300,7,26973
6-Sep-18,90,92.85,89.4,91.1,90.69162996,681,22,61761
5-Sep-18,92,93.5,88.05,90.05,90.80769231,1196,27,108606
4-Sep-18,104,104,92,93.25,96.79432477,9656,91,934646
3-Sep-18,92.35,95.9,92.35,95.75,92.82758621,58,3,5384
31-Aug-18,93.15,95.5,93.15,93.15,93.16137124,1196,7,111421
30-Aug-18,92,96.7,89,93.15,93.40104167,2304,13,215196
29-Aug-18,95.25,95.3,94.1,94.55,94.70483871,620,10,58717
28-Aug-18,96.85,96.85,96.85,96.85,96.82926829,41,1,3970
27-Aug-18,106,106,94.1,97,99.2169863,1825,20,181071
24-Aug-18,95.4,95.4,94.1,94.1,94.46522782,834,8,78784
23-Aug-18,93.1,96.1,93.1,95.4,94.67142857,140,5,13254
21-Aug-18,96.75,96.75,94.15,96.1,96.07894737,190,9,18255
20-Aug-18,94,96.55,93,94.2,94.32172131,488,7,46029
17-Aug-18,92,94.95,92,94.4,93.51555556,225,4,21041
16-Aug-18,95,95.25,93,93.4,94.659375,960,19,90873
14-Aug-18,94.7,96.45,94.65,96.15,95.66333333,300,9,28699
13-Aug-18,99.75,99.75,98.1,98.1,98.43648649,740,9,72843
10-Aug-18,97.8,97.8,97,97,97.52413793,145,3,14141
9-Aug-18,96.1,99,96.1,98.75,98.76245211,261,6,25777
8-Aug-18,94.3,96.5,94.3,96.5,96.29545455,1100,3,105925
7-Aug-18,93.5,99.45,93.5,96.9,95.86363636,110,4,10545
6-Aug-18,98,98.9,95.55,98.5,98.41914191,303,11,29821
3-Aug-18,104.8,104.8,94.65,94.65,95.34621711,1216,30,115941
2-Aug-18,98.5,98.5,95.7,96.5,96.77406523,1257,24,121645
31-Jul-18,91.65,95.9,91.65,93.65,93.1369863,219,12,20397
30-Jul-18,92.5,94,88.85,91.5,92.10752688,372,9,34264
27-Jul-18,85.25,90,85.25,87.05,86.85,180,5,15633
26-Jul-18,92.7,92.7,86.25,87.05,89.49166667,240,10,21478
25-Jul-18,89.5,93.25,87.55,90.7,88.35943714,3269,25,288847
24-Jul-18,81.9,88,78.05,87.5,83.79328165,387,22,32428
23-Jul-18,76.1,80,76.1,77.5,78.10820896,804,22,62799
20-Jul-18,82.5,82.5,77.1,79.35,80.21910112,178,10,14279
19-Jul-18,85,85,82.7,84,84.22342342,555,10,46744
18-Jul-18,86.3,86.6,85.5,86.05,86.20537428,1042,13,89826
17-Jul-18,90,90,88.1,88.1,88.79090909,220,6,19534
16-Jul-18,90,90,87.05,88.8,89.1540154,909,16,81041
13-Jul-18,94,94,90.2,90.25,91.46608947,1386,14,126772
12-Jul-18,92.35,92.35,92.35,92.35,92.34545455,55,2,5079
11-Jul-18,93.2,94.95,91.05,93.3,93.09630819,623,13,57999
10-Jul-18,91.6,96.35,88.6,94.75,92.78654292,431,32,39991
9-Jul-18,91.3,91.3,88.5,89.55,90.15267176,2096,31,188960
6-Jul-18,90.6,92.5,90.6,92,92.08049113,733,23,67495
5-Jul-18,95.2,95.2,92,93.35,93.07048941,2738,58,254827
4-Jul-18,98,98,95.55,96.5,96.26851852,540,8,51985
3-Jul-18,98.5,98.55,96.1,98,97.61128725,1577,33,153933
2-Jul-18,95.9,100.15,95.9,97.05,97.64788732,142,4,13866
29-Jun-18,100,102.6,99,100.75,100.7024825,2578,34,259611
28-Jun-18,102.1,103.5,100.1,100.65,100.9186047,430,6,43395
27-Jun-18,105.95,106,101,103.5,102.4051911,1387,18,142036
26-Jun-18,100.3,102,100.3,101.6,101.117096,427,9,43177
25-Jun-18,102,105.5,101.7,101.75,101.9531813,833,12,84927
22-Jun-18,101.8,102,101.8,102,101.821393,2010,7,204661
21-Jun-18,102.7,104.6,102.7,102.75,102.7338129,1112,9,114240
20-Jun-18,103.9,105,103.9,105,104.56,25,2,2614
19-Jun-18,105.9,109,104,106.2,106.1686992,1476,30,156705
18-Jun-18,108.75,108.75,108.75,108.75,108.7333333,30,1,3262
15-Jun-18,108,108.85,106.2,107.15,107.5324675,693,14,74520
14-Jun-18,105,107.2,105,107.2,106.5678571,280,4,29839
13-Jun-18,108.8,108.8,105,106.1,106.5741483,998,19,106361
12-Jun-18,104.7,108.85,104.7,108.85,104.7631579,76,3,7962
11-Jun-18,113.55,113.7,100,104.55,105.1944331,9808,142,1031747
8-Jun-18,109.5,109.5,109.05,109.5,109.497992,498,7,54530
7-Jun-18,110.65,110.65,110.05,110.05,110.1025641,39,5,4294
6-Jun-18,108.05,108.05,108,108.05,108.0284091,176,2,19013
5-Jun-18,115.9,115.9,106.1,106.55,109.6564673,719,12,78843
4-Jun-18,113.4,114.1,112.1,112.9,113.0164918,1334,11,150764
1-Jun-18,112.6,120.7,112.6,115.25,114.7542857,525,12,60246
31-May-18,115,115,113.35,113.7,113.7108911,505,9,57424
30-May-18,118,118,115,115.1,115.8344086,465,7,53863
29-May-18,115,117,114,115.45,115.2356627,2075,22,239114
28-May-18,116,116.9,115.5,115.55,116.1812401,3145,29,365390
25-May-18,114.4,117.4,114.2,114.4,114.5770492,305,11,34946
24-May-18,123.45,123.45,114.7,117,119.3961039,154,8,18387
23-May-18,114,116.3,113.1,116.3,115.2036199,221,7,25460
22-May-18,113.5,119.95,112.1,117.3,115.7108295,868,28,100437
21-May-18,118.25,118.25,112.05,113,113.8484438,739,28,84134
18-May-18,121.55,123.4,120.15,120.15,121.0790123,405,15,49037
17-May-18,123.3,125.5,123.1,123.3,123.8678619,1506,28,186545
16-May-18,125,129.7,125,126.05,125.9919679,249,7,31372
15-May-18,126.85,126.85,126.85,126.85,126.8,5,1,634
14-May-18,127.15,129.4,126,128.8,127.5550239,418,13,53318
11-May-18,129,133,126.45,132.05,129.2492669,1364,29,176296
10-May-18,131.65,131.65,129.5,129.5,129.5728155,103,4,13346
9-May-18,129.45,134,127.3,133,131.8989362,1316,28,173579
8-May-18,132.75,132.75,129.15,129.75,130.8062284,289,11,37803
7-May-18,126.1,129.8,125.2,128,126.7442882,1138,22,144235
4-May-18,125.15,127.8,125.15,125.2,125.1962617,321,5,40188
3-May-18,127.15,127.6,125.1,125.4,126.8074074,2160,32,273904
2-May-18,127.8,130,126.75,127.65,128.2394636,1044,20,133882
30-Apr-18,128,128,127.05,127.65,127.7300258,1552,25,198237
27-Apr-18,129.2,130.35,127.85,128.75,129.5803474,1842,29,238687
26-Apr-18,127.5,131.9,126,129.25,127.6167499,1803,23,230093
25-Apr-18,128.05,130.25,127.1,129,128.7827661,1381,32,177849
24-Apr-18,131,135.4,127.5,128.75,130.3099157,2491,42,324602
23-Apr-18,135.55,135.75,132.1,132.9,133.4921875,1536,32,205044
20-Apr-18,136.95,137.75,128.2,131,132.2195416,4145,55,548050
19-Apr-18,139.5,142.8,137.25,139.05,139.0940632,1297,12,180405
18-Apr-18,146,146,139,141.5,140.5301205,2905,32,408240
17-Apr-18,140.5,142.85,140.5,140.5,141.7217391,115,3,16298
16-Apr-18,141,143.4,139.5,141.35,141.6500718,2089,35,295907
13-Apr-18,149.5,149.5,144.95,145.7,145.5877378,1419,30,206589
12-Apr-18,150.65,150.65,139.6,145.5,143.9509632,2284,49,328784
11-Apr-18,146,146,141,142.65,142.9261104,2409,30,344309
10-Apr-18,138.2,143,138.2,141.35,141.2505944,2103,25,297050
9-Apr-18,142.8,142.8,137,140.1,139.8245839,781,16,109203
6-Apr-18,134.65,138.3,133.15,136.55,135.8810198,353,10,47966
5-Apr-18,133,135,132.65,134.65,134.27121,719,13,96541
4-Apr-18,137.9,137.9,130.4,132.25,132.378692,948,32,125495
3-Apr-18,128,135,128,133.85,131.0241917,4299,47,563273
2-Apr-18,124.75,127.9,124.3,126.85,125.2614016,899,19,112610
28-Mar-18,123.1,129,123,124.25,124.6477964,2632,58,328073
27-Mar-18,133.95,133.95,124.05,125,127.3239587,2809,44,357653
26-Mar-18,126.25,130,125.1,126.45,126.9286223,5618,49,713085
23-Mar-18,125.75,133,125.75,130.5,129.9102668,1237,26,160699
22-Mar-18,133.1,140.4,128.55,131.75,134.3438327,3778,82,507551
21-Mar-18,139,143,138.25,140,139.8026316,1140,19,159375
20-Mar-18,137.05,141.15,137.05,138.65,139.8046512,2795,36,390754
19-Mar-18,139.4,140,134.9,136,137.9720619,3293,29,454342
16-Mar-18,137,139.5,133.15,135.95,137.8497978,1731,29,238618
15-Mar-18,137,139.9,135.25,136.15,138.0785455,1375,17,189858
14-Mar-18,136.85,138,135,137.95,137.3645455,1100,26,151101
13-Mar-18,134,138,132.75,135.65,134.9317251,2197,40,296445
12-Mar-18,136,136,130.6,132.65,132.1872597,1821,32,240713
9-Mar-18,133.1,135,131,131,133.7780943,17201,66,2301117
8-Mar-18,140,140,132.25,135.95,135.8583886,13876,32,1885171
7-Mar-18,145,145.15,131,133.25,136.0243902,3116,71,423852
6-Mar-18,146.8,153.25,142,142.85,146.8034812,1781,46,261457
5-Mar-18,158,158,145.7,147.25,146.8081784,1345,24,197457
1-Mar-18,158,158,148.5,149.1,150.6270358,4298,87,647395
28-Feb-18,142,151.7,142,148.55,149.2654373,3579,37,534221
27-Feb-18,149.15,154,149.1,150,150.8455706,2506,37,378019
26-Feb-18,151.6,152,151.2,151.35,151.33375,800,20,121067
23-Feb-18,151.3,154,151.1,153.2,152.6790865,2496,43,381087
22-Feb-18,152,153.6,152,152.65,152.5193133,466,34,71074
21-Feb-18,154,154,151.3,153.2,152.3975309,405,10,61721
20-Feb-18,157.2,157.2,156.85,156.95,157.0140845,142,5,22296
19-Feb-18,154.7,160,152.55,155.45,155.1177057,2005,35,311011
16-Feb-18,161,161.5,158,160.2,160.3702274,2331,55,373823
15-Feb-18,157.5,164.05,157.5,161.5,161.7383321,1307,38,211392
14-Feb-18,161.9,164.95,160,160.9,162.9376719,1091,29,177765
12-Feb-18,161.4,171.1,160.9,163.75,165.6349745,6479,141,1073149
9-Feb-18,149,158,149,157.05,155.0571241,3046,72,472304
8-Feb-18,143.3,155,143.25,153.6,151.013023,3609,69,545006
7-Feb-18,144.1,146,141.4,143.6,143.052546,1846,41,264075
6-Feb-18,140,146.95,122,140.25,137.9891834,6564,84,905761
5-Feb-18,142.15,151.7,142.15,148.3,148.5722444,1751,44,260150
2-Feb-18,157,157.1,144,147.4,150.9900386,6224,127,939762
1-Feb-18,162,162.15,153.8,156,157.2886228,5010,110,788016
31-Jan-18,161.05,165,156,161.25,160.5647561,15458,292,2482010
30-Jan-18,170.6,172.45,164,164.95,167.2022857,3500,86,585208
29-Jan-18,180,180,170,173,174.2012524,4631,108,806726
25-Jan-18,180.3,183.35,179,179.45,180.1057094,1769,34,318607
24-Jan-18,192,192,180,180.6,185.3567918,8341,148,1546061
23-Jan-18,183,195.7,183,191.2,189.9412999,19063,351,3620851
22-Jan-18,183.4,183.4,178.65,181.85,181.6047337,845,20,153456
19-Jan-18,175.2,180.75,173.5,178.3,177.1687751,6719,105,1190397
18-Jan-18,183.55,186.35,174.25,177.1,178.5056906,3251,61,580322
17-Jan-18,183,185.3,180.1,183.1,182.8245459,2257,31,412635
16-Jan-18,189.1,190,182,182.7,184.8929323,3325,71,614769
15-Jan-18,185.65,192,185.65,186.95,188.7891048,3139,78,592609
12-Jan-18,188.6,190,183.1,185.65,186.9121353,3016,68,563727
11-Jan-18,187.45,191.95,186,189,189.1929981,12368,197,2339939
10-Jan-18,190.05,192.45,189.05,189.8,190.1189147,6450,112,1226267
9-Jan-18,188.65,193,188.65,190.5,191.3362623,5918,105,1132328
8-Jan-18,196,196.8,189.3,190.1,191.6341998,6386,195,1223776
5-Jan-18,194.75,196.15,188,188.95,191.9338843,3993,84,766392
4-Jan-18,197.35,197.4,187.1,190.15,190.5402939,14357,255,2735587
3-Jan-18,194.95,199.95,193.85,195.9,196.7931566,12333,348,2427050
2-Jan-18,197.6,200.6,190.5,191.15,195.5439229,20240,387,3957809
1-Jan-18,202.4,205.6,197,198.8,201.8990506,3160,89,638001
